Species	Reads
Methylophilus sp. TWE2	179
Pseudomonas poae	178
Acinetobacter schindleri	177
Staphylococcus epidermidis	173
Glutamicibacter mishrai	171
Pseudomonas mendocina	160
Sphingobacterium sp. PM2-P1-29	160
Undibacterium sp. YM2	159
Geobacillus genomosp. 3	158
Sphingomonas sp. FARSPH	158
Acinetobacter dispersus	157
Sphingomonas alpina	156
N/A	155
Oscillatoria nigro-viridis	154
Comamonas terrigena	153
Hydrogenophaga sp. RAC07	150
Ralstonia insidiosa	146
Achromobacter spanius	144
Pseudomonas oleovorans	144
Saccharomyces cerevisiae	141
Mycolicibacterium aurum	140
Agromyces sp. HY052	138
Microbacterium foliorum	137
Rothia amarae	135
Acinetobacter chinensis	132
Providencia rettgeri	131
Acinetobacter indicus	128
Sphingopyxis macrogoltabida	125
Mycobacterium sp. YC-RL4	121
Brevundimonas sp. DS20	121
Sphingomonas sp. LK11	119
Comamonas aquatica	118
Mycolicibacterium phocaicum	118
Agromyces flavus	117
Methylobacterium bullatum	117
Bosea sp. RAC05	117
Microbacterium hominis	117
Tessaracoccus flavescens	115
Microbacterium sp. TPU 3598	114
Pseudomonas sp. phDV1	113
Pseudomonas veronii	112
Rhodococcus sp. BH4	111
Microbacterium chocolatum	111
Bradyrhizobium sp. CCBAU 53338	111
Sphingobium yanoikuyae	110
Micrococcus luteus	110
Rubrobacter xylanophilus	109
Deinococcus gobiensis	108
Bradyrhizobium sp. CCBAU 53340	106
Microbacterium sp. Y-01	105
Mycolicibacterium frederiksbergense	104
Cutibacterium granulosum	103
Microbacterium sp. PM5	103
Acinetobacter venetianus	102
Schlegelella thermodepolymerans	102
Cupriavidus metallidurans	102
Microterricola viridarii	101
Acidovorax sp. KKS102	101
Meyerozyma guilliermondii	101
Microbacterium sp. ABRD_28	101
Acinetobacter sp. WCHA45	100
Janthinobacterium sp. 1_2014MBL_MicDiv	100
Brevundimonas sp. SGAir0440	100
Acinetobacter sp. WCHAc010034	99
Massilia sp. WG5	97
Bradyrhizobium sp. SK17	96
Brachybacterium ginsengisoli	96
Enterobacter cloacae	95
Chryseobacterium sp.	95
Sphaerotilus natans	90
Sphingobacterium daejeonense	89
Kinneretia sp. DAIF2	89
Deinococcus soli Cha et al. 2016	88
Candidatus Saccharibacteria bacterium GW2011_GWC2_44_17	87
Cedecea neteri	86
Bradyrhizobium sp. 6(2017)	86
Clavibacter michiganensis	86
Alicycliphilus denitrificans	85
Leifsonia shinshuensis	85
Sphingomonas panacis	83
Elizabethkingia bruuniana	83
Microbacteriaceae bacterium WY83	83
Hydrogenophilus thermoluteolus	81
Brevundimonas sp. GW460-12-10-14-LB2	80
Chryseobacterium haifense	80
Variovorax paradoxus	79
Methylobacterium mesophilicum	78
Achromobacter sp. AONIH1	78
Streptococcus suis	78
Novosphingobium pentaromativorans	78
Pseudomonas azotoformans	78
Paracoccus liaowanqingii	76
Janibacter melonis	76
Sphingomonas wittichii	74
Caulobacter sp. FWC26	74
Bosea sp. ANAM02	73
Brevundimonas sp. M20	73
Bacillus subtilis	72
Pseudomonas rhodesiae	71
Brachybacterium saurashtrense	71
Planctomyces sp. SH-PL14	71
Bradyrhizobium arachidis	71
Corynebacterium segmentosum	70
Staphylococcus haemolyticus	70
Mycobacterium paragordonae	70
Bradyrhizobium sp.	70
Psychrobacter sp. DAB_AL43B	70
Acinetobacter sp. WCHA55	69
Microbacterium sp. No. 7	69
Mitsuaria sp. 7	69
Halomonas hydrothermalis	69
Sphingomonas sp. PAMC26645	68
Brachybacterium faecium	68
Sphingopyxis sp. FD7	68
Pseudomonas fluorescens	68
uncultured Caudovirales phage	68
Hydrogenophaga sp. BPS33	68
Bradyrhizobium betae	67
Sphingobium sp. RAC03	67
Hydrogenophaga sp. PBC	67
Acinetobacter wuhouensis	67
Methylobacterium radiotolerans	66
Paracoccus yeei	65
Sphingomonas sp. LM7	65
Solimonas sp. K1W22B-7	65
Mesorhizobium terrae	65
Brevundimonas vesicularis	64
Empedobacter falsenii	64
Hydrogenophaga sp. BA0156	63
Lautropia mirabilis	63
Brachybacterium vulturis	63
Arthrobacter sp. NEB 688	61
Serinicoccus profundi	61
Rhodopseudomonas palustris	61
Duganella sp. GN2-R2	61
Janthinobacterium sp. LM6	60
Pseudomonas alcaliphila	60
Acinetobacter sp. YH12138	59
Sphingobium amiense	59
Acinetobacter soli	57
Sphingomonas sp. CL5.1	57
Rhizobium leguminosarum	57
Bradyrhizobium erythrophlei	57
Paucibacter sp. KCTC 42545	56
Leifsonia xyli	56
Leucobacter muris	56
Pseudomonas palleroniana	56
Acinetobacter sp. FDAARGOS_724	56
Sphingomonas sp. Cra20	55
Stenotrophomonas sp. LM091	54
Psychrobacter arcticus	54
Pseudonocardia sp. AL041005-10	54
Sphingomonas hengshuiensis	54
Bradyrhizobium genosp. B	54
Erythrobacter sp.	53
Ochrobactrum sp. MT180101	53
Sphingomonas taxi	53
Massilia putida	53
Sinorhizobium sp. RAC02	52
Paracoccus sp. AK26	52
Thermus thermophilus	52
Acidovorax sp. RAC01	52
Ornithinimicrobium flavum	52
Agrobacterium rhizogenes	52
Methylobacterium sp. XJLW	52
Acinetobacter radioresistens	52
Haemophilus parainfluenzae	51
Pseudomonas sp. SCB32	51
Microbacterium sp. 4R-513	51
Spirosoma rigui	51
Acidovorax monticola	51
Pseudomonas denitrificans (nom. rej.)	51
Variovorax sp. PMC12	51
Bradyrhizobium sp. ORS 285	50
Flavobacterium johnsoniae	50
Brevundimonas sp. MF30-B	50
Janthinobacterium agaricidamnosum	50
Nakamurella multipartita	49
Xylophilus rhododendri	49
Rhizobium sp. S41	49
Blastomonas sp. RAC04	49
Humibacter sp. WJ7-1	49
Ralstonia solanacearum	48
Acinetobacter seifertii	48
Agrobacterium fabrum	48
Paracoccus sanguinis	48
Erythrobacter sp. HL-111	48
Bradyrhizobium cosmicum	47
Pseudomonas sediminis	47
Asticcacaulis excentricus	47
Sanguibacter sp. HDW7	47
Hydrogenophaga sp. PBL-H3	47
Dyella japonica	47
Exophiala oligosperma	46
Caulobacter vibrioides	46
Bradyrhizobium diazoefficiens	46
Microbacterium aurum	46
Pseudomonas sp. TKP	46
Pseudomonas sp. LPH1	46
Microbacterium sp. CBA3102	46
Lactobacillus crispatus	46
Lactobacillus iners	45
Agromyces mediolanus	45
Brachybacterium sp. P6-10-X1	45
Brucella pituitosa	45
Sphingomonas sp. IC081	45
Stenotrophomonas sp. ASS1	45
Croceicoccus marinus	45
Capnocytophaga gingivalis	44
Xanthomonas citri	44
Microvirgula aerodenitrificans	43
Rothia terrae	43
Methylobacterium durans	43
Rhizorhabdus dicambivorans	43
Polaromonas naphthalenivorans	42
Phenylobacterium zucineum	42
Sphingobium cloacae	42
Psychrobacter cryohalolentis	42
Haematobacter massiliensis	42
Burkholderia pseudomallei	42
Cryobacterium sp.	42
Alternaria alternata	41
Curtobacterium flaccumfaciens	41
Luteitalea pratensis	41
Tardiphaga robiniae	41
Epidermidibacterium keratini	40
Luteovulum sphaeroides	40
Sphingomonas sanxanigenens	40
Pseudomonas umsongensis	40
Bradyrhizobium guangdongense	40
Enterobacter hormaechei	40
Cupriavidus pauculus	39
Sphingomonas sp. XS-10	39
Deinococcus grandis	39
Janthinobacterium lividum	39
Brevundimonas sp. 'scallop'	39
Mycolicibacterium mucogenicum	39
Acidovorax avenae	39
Bradyrhizobium sp. CCGE-LA001	38
Pseudomonas chlororaphis	38
Lactococcus lactis	38
Nocardioides ungokensis	38
Rubrivivax gelatinosus	38
Psychrobacter sp. P11G5	38
Pseudomonas psychrotolerans	38
Pseudomonas sp. ATCC 13867	38
Burkholderia contaminans	38
Novosphingobium sp. Gsoil 351	38
Arcobacter cryaerophilus	37
Sphingomonas insulae	37
Corynebacterium glutamicum	37
Methylobacterium sp. WL1	37
Malassezia globosa	36
Herbiconiux sp. SALV-R1	36
Corynebacterium matruchotii	36
Bosea sp. F3-2	36
Botrytis cinerea	36
Agrobacterium sp. T29	36
Protaetiibacter intestinalis	35
Acinetobacter gyllenbergii	35
Altererythrobacter sp. BO-6	35
Exiguobacterium sibiricum	35
Janibacter indicus	35
Ramlibacter tataouinensis	34
Phreatobacter cathodiphilus	34
Rheinheimera sp. D18	34
Bradyrhizobium sp. CCBAU 51753	34
Novosphingobium sp. ABRDHK2	34
Pseudomonas sihuiensis	34
Flintibacter sp. KGMB00164	34
Deinococcus wulumuqiensis	34
Dechloromonas sp.	34
Pseudomonas koreensis	34
Corynebacterium sanguinis	34
Stappia indica	33
Sphingomonas sp. MM-1	33
Undibacterium sp. KW1	33
Chryseobacterium sp. 6424	33
Massilia sp. YMA4	33
Burkholderiaceae bacterium	33
Gordonia sp. YC-JH1	33
Stenotrophomonas acidaminiphila	33
Rheinheimera sp. LHK132	33
Rhizobium phaseoli	33
Caulobacter mirabilis	32
Psychrobacter sp.	32
Novosphingobium ginsenosidimutans	32
Duganella sp. AF9R3	32
Corynebacterium ureicelerivorans	32
Leifsonia sp. 21MFCrub1.1	31
Arthrobacter sp. PAMC 25486	31
Burkholderia cenocepacia	31
Acidovorax carolinensis	31
Rhizobacter gummiphilus	31
Altererythrobacter sp. TH136	31
Rhizobium pusense	31
Buchnera aphidicola	30
Microbacterium wangchenii	30
Microbacterium sp. 10M-3C3	30
Rhodococcus sp. AQ5-07	30
Pseudomonas sp. R76	30
Novosphingobium sp. THN1	30
Rhodococcus ruber	30
Leucobacter triazinivorans	29
Pseudoxanthomonas mexicana	29
Mesorhizobium oceanicum	29
Deinococcus actinosclerus	29
Pandoraea apista	29
Microbacterium oryzae	29
Mycobacterium tuberculosis	29
Tautonia plasticadhaerens	29
Rhodococcus sp. 008	29
Oerskovia sp. KBS0722	29
Comamonas sp. NLF-7-7	29
Ensifer adhaerens	28
Bradyrhizobium paxllaeri	28
Staphylococcus cohnii	28
Gordonia terrae	28
Sphingomonas lutea	28
Hydrogenophaga crassostreae	28
Leifsonia sp. PS1209	28
Burkholderia lata	28
Defluviicoccus vanus	28
Mycobacterium sp. djl-10	28
Microbacterium sp. 1S1	28
Brucella pinnipedialis	28
Acidovorax sp. 1608163	28
Blastomonas fulva	28
Aerococcus urinaeequi	28
Enterococcus faecium	27
Geobacillus sp. 44B	27
Sphingomonas sp. C8-2	27
Burkholderia sp. IDO3	27
Brachybacterium sp. SGAir0954	27
Herbaspirillum seropedicae	27
Sanguibacter keddieii	27
Methylobacterium currus	26
Enterobacter asburiae	26
Sphingomonas panacisoli	26
Martelella sp. AD-3	26
Achromobacter sp. MFA1 R4	26
Bordetella pertussis	26
Pulveribacter suum	26
Sulfurivermis fontis	26
Salinibacterium sp. ZJ70	26
Rhodoblastus sp.	26
Achromobacter denitrificans	26
Phenylobacterium parvum	26
Sphingosinithalassobacter sp. zrk23	26
Bosea sp. AS-1	26
Microbacterium sp. XT11	26
Ochrobactrum pseudogrignonense	25
Caulobacter rhizosphaerae	25
Bradyrhizobium vignae	25
Massilia albidiflava	25
Gemmata massiliana	25
Zhihengliuella sp. ISTPL4	25
Janthinobacterium sp. HH102	25
Bradyrhizobium oligotrophicum	25
Neisseria elongata	25
Methylobacterium nodulans	25
Propioniciclava sp. HDW11	25
Brachybacterium avium	25
Inhella inkyongensis	25
Agrobacterium sp. CGMCC 11546	25
Pseudomonas sp. B11D7D	25
Lysobacter enzymogenes	25
Sphingopyxis granuli	25
Glutamicibacter nicotianae	25
Jiangella alkaliphila	25
Melaminivora sp. SC2-9	24
Pseudomonas lalkuanensis	24
Mariniflexile sp. TRM1-10	24
Devosia sp. I507	24
Massilia armeniaca	24
Staphylococcus simulans	24
Erythrobacter litoralis	24
Parageobacillus thermoglucosidasius	24
Sinorhizobium meliloti	24
Epilithonimonas vandammei	24
Achromobacter insolitus	23
Sphingopyxis fribergensis	23
Pandoraea fibrosis	23
Acinetobacter ursingii	23
Rhodoferax sediminis	23
Corynebacterium variabile	23
Thiobacillus sp.	23
Erwinia persicina	23
Erythrobacter sp. HKB08	23
Achromobacter pestifer	23
Marisediminicola antarctica	23
Leptothrix cholodnii	23
Cellulomonas fimi	23
Brevundimonas subvibrioides	23
Agrococcus carbonis	23
Kytococcus sedentarius	23
Delftia sp. Cs1-4	23
Massilia violaceinigra	23
Qipengyuania sediminis	23
Janthinobacterium tructae	23
Janthinobacterium svalbardensis	23
Agrococcus jejuensis	23
Caulobacter segnis	22
Cupriavidus gilardii	22
Bradyrhizobium sp. CCBAU 53351	22
Thermus caldilimi	22
Paraburkholderia sp. 7MH5	22
Caulobacter sp. K31	22
Thauera sp. K11	22
Acidovorax sp. JS42	22
Psychrobacter sp. KCTC 72983	22
Streptococcus mitis	22
Microbacterium sp. BH-3-3-3	22
Roseomonas mucosa	22
Caulobacter sp. Ji-3-8	22
Variovorax sp. PAMC 28711	22
Acinetobacter cumulans	22
Dietzia lutea	21
Bradyrhizobium sp. 1(2017)	21
Tsuneonella dongtanensis	21
Azoarcus olearius	21
Caulobacter flavus	21
Pseudomonas sp. PONIH3	21
Hydrogenobacter sp. T-8	21
Rhodoferax saidenbachensis	21
Rhizobium daejeonense	21
Deinococcus metallilatus	21
Rhodoferax koreense	21
Sulfuritortus calidifontis	21
Wickerhamomyces anomalus	21
Mycolicibacterium boenickei	21
Oblitimonas alkaliphila	21
Paracoccus zhejiangensis	21
Xanthomonas oryzae	21
Saccharopolyspora erythraea	20
Thermomonas brevis	20
Paraburkholderia acidisoli	20
Altererythrobacter sp. B11	20
Brevundimonas sp. Bb-A	20
Devosia ginsengisoli	20
Clostridium thermarum	20
Limosilactobacillus reuteri	20
Chryseobacterium taihuense	20
Parvibaculum lavamentivorans	20
Vitreoscilla filiformis	20
Algibacter alginicilyticus	20
Methanosarcina barkeri	20
Sphingorhabdus lacus	20
Pseudomonas moraviensis	20
Lactococcus raffinolactis	20
Pseudomonas fulva	20
Xanthobacter autotrophicus	20
Diaphorobacter sp. HDW4B	20
[Polyangium] brachysporum	20
Bradyrhizobium amphicarpaeae	20
Sphingopyxis terrae	20
Microbacterium sp. PAMC 28756	20
Variovorax sp. WDL1	20
Rhizobium tropici	20
Burkholderia stabilis	20
Brevibacterium linens	20
Microbacterium sp. RG1	20
Sphingomonas sp. KC8	19
Pandoraea norimbergensis	19
Rhizobium lusitanum	19
Paracoccus suum	19
Massilia sp. NR 4-1	19
Rothia aeria	19
Raoultella ornithinolytica	19
Rheinheimera sp. F8	19
Streptomyces sp. AgN23	19
Bradyrhizobium guangxiense	19
Pimelobacter simplex	19
Methylobacterium phyllosphaerae	19
Roseateles depolymerans	19
Microbacterium pygmaeum	19
Pseudomonas libanensis	19
Brevundimonas sp. LM2	19
Noviherbaspirillum sp. UKPF54	19
Oligotropha carboxidovorans	18
Cytophaga hutchinsonii	18
Flavobacterium indicum	18
Thermus parvatiensis	18
Pseudomonas yamanorum	18
Staphylococcus phage StB12	18
Chroococcidiopsis thermalis	18
Methylobacterium sp. AMS5	18
Sphingobium baderi	18
Sphingomonas ginsengisoli An et al. 2013	18
Rathayibacter sp. VKM Ac-2801	18
Microbacterium hydrocarbonoxydans	18
Chelativorans sp. BNC1	18
Human betaherpesvirus 5	18
Rathayibacter festucae	18
Tessaracoccus flavus	18
Ottowia oryzae	18
Diaphorobacter polyhydroxybutyrativorans	18
Cupriavidus necator	18
Sphingopyxis sp. OPL5	18
Acinetobacter sp. ACNIH1	18
Aminobacter sp. MSH1	18
Erythrobacter aureus	18
Sphingobium sp. TKS	17
Bordetella bronchialis	17
Diaphorobacter aerolatus	17
Cryobacterium arcticum	17
Novosphingobium resinovorum	17
Actinoalloteichus hymeniacidonis	17
Pseudomonas plecoglossicida	17
Sphingomonas sp. MJ3	17
Corynebacterium singulare	17
Deinococcus sp. NW-56	17
Bordetella genomosp. 13	17
Ligilactobacillus salivarius	17
Mycolicibacterium psychrotolerans	17
uncultured Sphingopyxis sp.	17
Mycobacteroides chelonae	17
Novosphingobium aromaticivorans	17
Sphingobium sp. SCG-1	17
Diaphorobacter sp. JS3050	17
Mycolicibacterium fluoranthenivorans	17
Sphingopyxis sp. QXT-31	17
Mycobacterium avium	16
Arthrobacter sp. LS16	16
[Clostridium] scindens	16
Halomonas socia	16
Pseudomonas sp. FDAARGOS_380	16
Cellulosimicrobium cellulans	16
Rhodococcus opacus	16
Aeromicrobium choanae	16
Acinetobacter equi	16
Croceicoccus naphthovorans	16
Ornithinimicrobium sp. HY006	16
Desulfovibrio piger	16
Arthrobacter sp. 7749	16
Mesorhizobium sp. M7A.F.Ce.TU.012.03.2.1	16
Sphingobium sp. RSMS	16
Mesorhizobium sp. DCY119	16
Cellulomonas sp. PSBB021	16
Bosea vaviloviae	16
Sphingopyxis sp. PAMC25046	16
Rhizobium sp. 11515TR	16
Chryseobacterium taklimakanense	16
Hylemonella gracilis	15
Pseudomonas sp. CMR5c	15
Oceanisphaera profunda	15
Flavobacteriaceae bacterium 3519-10	15
Bosea sp. PAMC 26642	15
Bradyrhizobium symbiodeficiens	15
Aromatoleum aromaticum	15
Microbacterium lushaniae	15
Chromatiaceae bacterium No.7	15
Baekduia soli	15
Bacteroides cellulosilyticus	15
Kocuria rhizophila	15
Sphingomonas sp. MK52	15
Luteimonas yindakuii	15
Acinetobacter sp. LoGeW2-3	15
Nocardioides euryhalodurans	15
Hyphomicrobium nitrativorans	15
Sphingobacterium sp. dk4302	15
Auritidibacter sp. NML130574	15
Byssochlamys spectabilis	15
Lachnoclostridium phytofermentans	15
Corynebacterium imitans	15
Chryseobacterium shandongense	15
Nocardia brasiliensis	15
Sphingobium sp. EP60837	15
Metabacillus litoralis	15
Massilia lutea	15
Bradyrhizobium sp. CCBAU 051011	15
Sphingopyxis alaskensis	15
Elizabethkingia anophelis	15
Mycolicibacterium arabiense	15
Methylobacterium oryzae	15
Sphingopyxis sp. EG6	15
Pseudomonas citronellolis	15
Pseudomonas sp. 02C 26	15
Sphingomonas indica	15
Flavobacterium crocinum	15
Murine leukemia virus	15
Pantoea sp. PSNIH1	15
Pseudomonas alcaligenes	15
Sphingosinicella sp. BN140058	15
Pseudomonas virus nickie	15
Fusarium fujikuroi	14
Methylibium petroleiphilum	14
Zasmidium cellare	14
Aeromonas salmonicida	14
Microbacterium sediminis	14
Corynebacterium resistens	14
Diaphorobacter sp. HDW4A	14
Dermacoccus abyssi	14
Exiguobacterium mexicanum	14
Luteimonas sp. JM171	14
Acinetobacter nosocomialis	14
Luteibacter pinisoli	14
Pantoea ananatis	14
Agrobacterium vitis	14
Pseudomonas monteilii	14
Variovorax boronicumulans	14
Ottowia sp. oral taxon 894	14
Hydrogenophaga pseudoflava	14
Microbacterium sp. LKL04	14
Seonamhaeicola sp. S2-3	14
Cordyceps militaris	14
Delftia sp. HK171	14
Streptomyces seoulensis	14
Sphingobium barthaii	14
Bradyrhizobium genosp. L	14
Methylibium sp. Pch-M	14
Thauera sp. MZ1T	14
Wolinella succinogenes	14
Acinetobacter wanghuae	14
Nitrospira defluvii	14
Mesorhizobium sp. M8A.F.Ca.ET.057.01.1.1	14
Pseudomonas multiresinivorans	14
Pandoraea sp. XY-2	14
Hydrogenophaga sp. PAMC20947	14
Pseudomonas sabulinigri	13
Skermanella pratensis	13
Trichoderma citrinoviride	13
Marinobacter sp. JH2	13
Arthrobacter sp. ERGS1:01	13
Fusarium vanettenii	13
Lysobacter lycopersici	13
Flavobacterium crassostreae	13
Nocardioides sp. JQ2195	13
Psychrobacter sp. YP14	13
Nocardia mangyaensis	13
Gryllotalpicola protaetiae	13
Jiangella sp. DSM 45060	13
Phycicoccus endophyticus	13
Microbacterium caowuchunii	13
Rhizobium sp. Q54	13
Dokdonella koreensis	13
Finegoldia magna	13
Frondihabitans sp. 762G35	13
Pseudomonas sp. URMO17WK12:I11	13
Paraburkholderia phytofirmans	13
Rhizobium flavum	13
Epichloe festucae	13
Saccharopolyspora coralli	13
Labilithrix luteola	13
Microbacterium paludicola	13
Plantibacter sp. PA-3-X8	13
Anaerobutyricum hallii	13
Aspergillus campestris	13
Pseudoxanthomonas spadix	13
Xanthomonas sacchari	13
Diaminobutyricimonas sp. LJ205	13
Prevotella intermedia	13
Nocardioides sp. WS12	13
Herbaspirillum rubrisubalbicans	13
Pseudomonas marincola	13
Metarhizium acridum	13
Dermacoccus nishinomiyaensis	13
Aeromicrobium erythreum	13
Moesziomyces antarcticus	13
Acinetobacter sp. NCu2D-2	13
Pseudomonas antarctica	12
Pigmentiphaga sp. H8	12
Rathayibacter iranicus	12
Leuconostoc citreum	12
Petrimonas sp. IBARAKI	12
Comamonas piscis	12
Cladophialophora yegresii	12
Hyphomonas sp. CACIAM 19H1	12
Rhizobium sp. NXC24	12
Thermus brockianus	12
Brevibacterium luteolum	12
Halobacterium hubeiense	12
Psychrobacter sanguinis	12
Paraburkholderia acidiphila	12
Herbaspirillum hiltneri	12
Nitrospira moscoviensis	12
Candidatus Saccharibacteria bacterium oral taxon 957	12
Variovorax sp. HW608	12
Flavobacterium columnare	12
Clostridiales bacterium CCNA10	12
Acinetobacter sp. TGL-Y2	12
Sphingosinicella microcystinivorans	12
Denitratisoma oestradiolicum	12
Sphingobium sp. CAP-1	12
Methylobacterium sp. DM1	12
Acidovorax sp. T1	12
Corynebacterium sp. 2039	12
Lactobacillus delbrueckii	12
Nitrobacter winogradskyi	12
Nocardioides sp. HDW12A	12
Neisseria mucosa	12
Colwellia sp. PAMC 21821	12
Thermomonas sp. SY21	12
Nocardioides marinisabuli	12
Microbacterium schleiferi	12
Acetoanaerobium sticklandii	11
Sphingomonas sp. C33	11
Flavobacterium sp. KBS0721	11
Azoarcus sp. KH32C	11
Kaistella daneshvariae	11
Geosmithia morbida	11
Mesorhizobium sp. M6A.T.Cr.TU.016.01.1.1	11
Aureimonas altamirensis	11
Sphingorhabdus sp. M41	11
Rhodococcus sp. P1Y	11
Thermomonas sp. HDW16	11
Nocardioides seonyuensis	11
Rhizobium jaguaris	11
Streptomyces globisporus	11
Streptomyces sp. SM18	11
Bradyrhizobium sp. ORS 278	11
Acinetobacter sp. 8637	11
Xanthomonas cucurbitae	11
Friedmanniella luteola	11
Tessaracoccus defluvii	11
Weissella confusa	11
Arthrobacter sp. YN	11
Pseudomonas sp. SK	11
Thioalkalivibrio sulfidiphilus	11
Rhodococcus phage ChewyVIII	11
Pantoea alhagi	11
Limosilactobacillus pontis	11
Psychrobacter sp. G	11
Dietzia sp. oral taxon 368	11
Roseomonas gilardii	11
butyrate-producing bacterium SM4/1	11
Sphingobium sp. KCTC 72723	11
Pandoraea pnomenusa	11
Gordonia polyisoprenivorans	11
Bradyrhizobium sp. SG09	11
Mycobacterium marseillense	11
Bacillus amyloliquefaciens	11
Micrococcus sp. KBS0714	11
Sphingomonas sp. AP4-R1	11
Pseudonocardia sp. HH130630-07	11
Agrobacterium phage Atu_ph08	11
Pseudomonas simiae	11
Streptomyces galilaeus	11
Escherichia fergusonii	11
Massilia umbonata	11
Dissoconium aciculare	11
Pseudomonas sp. SNU WT1	11
Rhodococcus phage Whack	11
Acinetobacter sp. SWBY1	10
Marinobacter hydrocarbonoclasticus	10
Rothia mucilaginosa	10
Niastella koreensis	10
Salinibacterium sp. ZJ450	10
Actinomyces sp. oral taxon 169	10
Flavihumibacter sp. SB-02	10
Deinococcus irradiatisoli	10
Azospirillum lipoferum	10
TM7 phylum sp. oral taxon 952	10
Pseudoalteromonas aliena	10
Anoxybacillus gonensis	10
Tsukamurella paurometabola	10
Nocardioides anomalus	10
Plantactinospora sp. KBS50	10
Miniimonas sp. S16	10
Devosia sp. A16	10
Chryseobacterium antarcticum	10
Hoeflea sp. IMCC20628	10
Aplosporella prunicola	10
Pedobacter cryoconitis	10
Altererythrobacter atlanticus	10
Isoptericola dokdonensis	10
uncultured bacterium FC1	10
Blastochloris tepida	10
Purpureocillium lilacinum	10
Mycolicibacterium sp. CBMA 213	10
Microbulbifer sp. ALW1	10
Pseudonocardia autotrophica	10
Labrenzia sp. THAF35	10
Chryseobacterium camelliae	10
Lacunisphaera limnophila	10
Flavobacterium lindanitolerans	10
Runella slithyformis	10
Vibrio sp.	10
Thalassolituus oleivorans	10
Sphingopyxis sp. 113P3	10
Pantoea agglomerans	10
Klebsiella grimontii	10
Thermoanaerobacterium thermosaccharolyticum	10
Sphingobacterium hotanense	10
Staphylococcus caprae	10
Bradyrhizobium japonicum	10
Rhodococcus sp. H-CA8f	10
Luteimonas chenhongjianii	10
Indioceanicola profundi	10
Geobacillus sp. E263	10
